名称,位置,总价,每平方单价,介绍
大连北站旁 2室一厨双南向 交通便利 近地铁,南岭新城一期,69,"12,800元/平",中楼层(共6层)2室0厅|53.91平米|南
高新万达商圈 近地铁 南向 精装 70年产权 生活便利,MINI印象,63,"12,402元/平",中楼层(共32层)1室1厅|50.8平米|南
房子还在看房提前约就可以了了了,商业大街,16.4,"4,080元/平",低楼层(共5层)2室1厅|40.2平米|南
马栏广场地铁口 无遮挡  交通便利 生活成熟,兰丰巷,38.55,"7,500元/平",高楼层(共6层)2室1厅|51.4平米|南北
壹品天城，新上两室，位置好，户型好，价格低，诚心卖,壹品天城,193,"25,065元/平",中楼层(共17层)2室1厅|77平米|南北
精装修三室 南北通透 诚心出售 看房方便,保利金香槟,85,"9,096元/平",中楼层(共32层)3室2厅|93.45平米|南北
海航YOHO湾 南向 一室小户型 装修保持新 拎包入住,海航YOHO湾,46,"8,136元/平",低楼层(共32层)1室1厅|56.54平米|南
一楼平层，小区中间位置，户型方正，诚心出售！,三寰融创城北园,120,"12,756元/平",低楼层(共9层)3室2厅|94.08平米|南北
绿地二期 两室南北通透 视野采光好 离红梅近,绿地香树花城,80,"8,927元/平",低楼层(共18层)2室1厅|89.62平米|南北
电梯好楼层 无遮挡视线好 配套齐全 交通便利,新华人家B区,68.8,"7,714元/平",高楼层(共11层)2室1厅|89.2平米|南北
体育新城C位 2号线百余步 在家听演唱会 观足球赛,招商公园1872一期,158,"14,085元/平",中楼层(共34层)3室2厅|112.18平米|南北
泡崖市场旁 中间楼层 一室一厅 拎包入住,泡崖五区,43,"9,422元/平",中楼层(共6层)1室1厅|45.64平米|南
凤凰熙岸一期 小区中间位置 楼间距宽 采光充足 保持好,中海凤凰熙岸,115,"11,670元/平",高楼层(共11层)3室1厅|98.55平米|南北
东居里 2室1厅 南,东居里,45,"8,232元/平",低楼层(共6层)2室1厅|54.67平米|南
中海凤凰熙岸 3室2厅 南 北,中海凤凰熙岸,100,"10,148元/平",中楼层(共11层)3室2厅|98.55平米|南北
门头抄市 南北向通透户型 交通方便 地脚好 急售,润泽园,160,"19,589元/平",低楼层(共22层)2室1厅|81.68平米|东南北
房主诚心出售，房子户型方正，西南向采光好出行方便,34中纪念街,130,"21,549元/平",高楼层(共7层)2室1厅|60.33平米|西
多层洋房，精装修，采光好，楼层好，房主没怎么住。,新希望花园,398,"23,206元/平",中楼层(共7层)4室2厅|171.51平米|南北
中山公园 两室 精装修采光视野好 交通便利 适合居住,金光小区,135,"23,565元/平",高楼层(共7层)2室1厅|57.29平米|东北
南石巷 3室1厅 南 北,南石巷,95,"13,111元/平",高楼层(共6层)3室1厅|72.46平米|南北
工作调动，没住几天，业主忍痛割爱，水是可看,中港路花园,75,"9,511元/平",中楼层(共27层)2室1厅|78.86平米|南北
融创海逸长洲二期 3室1厅 南 北,融创海逸长洲二期,153,"12,955元/平",中楼层(共34层)3室1厅|118.11平米|南北
房子为精装修的，可以拎包入住，满五唯一,金海国际花园,35,"7,367元/平",中楼层(共19层)1室1厅|47.51平米|南
南向小户型，70年产权，独立厨卫，采光视野好,海悦山,100,"19,826元/平",中楼层(共34层)1室1厅|50.44平米|南
叠拼下跃，带独立车库，南入户的四室两卫,一方天鹅湖,88,"8,058元/平",低楼层(共5层)4室2厅|109.22平米|南北
117校 区封闭小区精装修 出行便利 购买方便,艳阳里,78,"12,587元/平",低楼层(共6层)2室1厅|61.97平米|南北
文体街 南北 两室 近地铁 车站,文体街,58,"11,739元/平",中楼层(共7层)2室1厅|49.41平米|南北
洋一方便出行 南北通厅 五明户型 看房方便,康桥小镇,135,"16,116元/平",低楼层(共4层)2室1厅|83.77平米|南北
视野好，楼前有凉亭，中间位置，精装修 看房方便,缇香漫城,170,"20,174元/平",高楼层(共12层)2室2厅|84.27平米|南北
满五不唯一精装中间楼层近车站生活出行方便,实验小学同庆街,135,"18,509元/平",中楼层(共7层)3室1厅|72.94平米|南北
新上机场乐购 国民 带花园 精装修 位置好洋房,国民院子,190,"20,091元/平",低楼层(共4层)2室1厅|94.57平米|南北
城堡电梯洋房，小区前排，南向好楼层,汇贤云玺,109,"17,627元/平",中楼层(共5层)2室1厅|61.84平米|南
绕云巷 2室1厅 南 北,绕云巷,50.9,"8,891元/平",中楼层(共7层)2室1厅|57.25平米|南北
近市场，近车站，中间楼层，装修保持好，生活配套全,泰山小区,50,"4,433元/平",中楼层(共6层)3室1厅|112.8平米|南北
水师营水晶城南北通厅2室市场市场旁,瑞鑫水晶城,40,"6,244元/平",高楼层(共6层)2室1厅|64.07平米|南北
新房精装未住，小区空气清新环境优美,汇贤云玺,145,"13,503元/平",低楼层(共27层)3室2厅|107.39平米|南西
爱华巷 2室0厅 南,爱华巷,45,"13,362元/平",低楼层(共6层)2室0厅|33.68平米|南
亿达 双八十 中间位置 好楼层 随时可看房,林语家话,245,"24,077元/平",中楼层(共11层)2室2厅|101.76平米|南北
小区前排视野开阔有车位，2梯3户  精装修智能家居,中航国际广场二期,256,"27,415元/平",中楼层(共46层)2室2厅|93.38平米|南
秀山路 2室0厅 南,秀山路,46.8,"9,472元/平",中楼层(共5层)2室0厅|49.41平米|南
总价低 方便看房 诚心出售 南北通 人车分流,中海凤凰熙岸,86,"10,445元/平",中楼层(共11层)2室2厅|82.34平米|北南
金山名苑洋房顶跃 两套打通的 上下400多平装修200万,金山名苑,155,"12,258元/平",高楼层(共5层)2室2厅|126.45平米|南北
76中学桥南 1室1厅 南,76中学桥南,60,"15,597元/平",高楼层(共6层)1室1厅|38.47平米|南
金山名苑洋房顶跃 两套打通的 上下400多平装修200万,金山名苑,155,"12,418元/平",高楼层(共5层)2室1厅|124.82平米|南北
塔河湾亿达品质，亿达装修，近地铁近海滨浴场70年产权,亿达蓝湾,55,"6,747元/平",低楼层(共31层)1室1厅|81.52平米|南
本房源楼层好，小区内小面积户型朝向较好，总价低,北欧假日,47,"11,929元/平",低楼层(共31层)1室1厅|39.4平米|东北
稀有户型三居室采光充足落地窗适合各种人群,金海湾2期,55,"6,250元/平",高楼层(共11层)3室2厅|88平米|南北
07年封闭园区，人车分流，鲜有户型,前城国际二期,90.5,"26,943元/平",低楼层(共12层)1室1厅|33.59平米|南
亿达河口湾二期南北两室卫生间有窗户北侧无连廊近地铁,亿达河口湾二期,172,"19,057元/平",低楼层(共33层)2室1厅|90.26平米|南北
南北通透的三室户型，楼层好，房子新，环境好,乾豪欢乐颂,85,"8,701元/平",中楼层(共29层)3室2厅|97.7平米|南北
南北通透户型，装修保持的好，诚心出售，暖色调系,中拥塞纳城,42,"6,175元/平",中楼层(共18层)2室2厅|68.02平米|南北
中间楼层位置好，南北通透两室南客厅,龙畔金泉二期,120,"12,969元/平",中楼层(共6层)2室2厅|92.53平米|南北
多层电梯洋房 两室南北通厅通透 自己装修好了没怎么住,中铁春风十里,57.8,"7,075元/平",低楼层(共6层)2室1厅|81.7平米|南北
大有文园 封闭小区 近理工大学 报价带车库,大有文园,146,"18,375元/平",低楼层(共24层)3室1厅|79.46平米|南北
华润凯旋门一期 2室2厅 南 北,华润凯旋门一期,152,"17,402元/平",中楼层(共33层)2室2厅|87.35平米|南北
小高层，采光好，户型好，前面是多层,湾里南小区,65,"8,378元/平",中楼层(共11层)2室1厅|77.59平米|南北
艾维尼小城两室全明户型落地窗全天采光无遮挡,艾维尼小城,88.8,"11,423元/平",中楼层(共11层)2室1厅|77.74平米|东南北
五明户型南北通透  前排无遮挡海景 河口站旁,亿达河口湾二期,189,"20,843元/平",中楼层(共33层)2室2厅|90.68平米|南北
马栏广场 近地铁 近车站 南北通透精装两室 随时看房,兰玉街,75,"13,258元/平",低楼层(共7层)2室1厅|56.57平米|南北
龙河家园电梯房  复式  使用面积大 装修 保持的很干净,龙河家园,34,"8,674元/平",低楼层(共19层)2室1厅|39.2平米|北
房主诚心出售，两室南北通厅，看海位置好，中间楼层、,华通和平海岸芭萨香谷,40,"4,256元/平",低楼层(共18层)2室2厅|94平米|南北
北京街万达高层 前排 户型好 看房方便 诚意出售,万达高层,69,"9,996元/平",低楼层(共30层)2室1厅|69.03平米|东南
融创一期前排一线海景 高档装修 四室二卫拎包入住,融创海逸长洲一期,530,"34,899元/平",高楼层(共6层)4室2厅|151.87平米|南北
三十九 嘉和花样年华三期 一室一厅 南向 总房款低,嘉和花样年华三期,90,"18,051元/平",中楼层(共30层)1室1厅|49.86平米|南
八一路转盘没有坡带电梯精装修两室 视野光线好随时看,八一路（八一路商圈）,72,"9,174元/平",中楼层(共21层)2室1厅|78.49平米|西南
此房精装修，南北2居室、业主诚心出售,山东路,66,"12,449元/平",低楼层(共7层)2室1厅|53.02平米|南北
卧龙港湾前排小高层婚房装修三室视野开阔楼层好采光好,光伸卧龙港湾,95,"9,392元/平",中楼层(共18层)3室2厅|101.15平米|南北
李家街三室田字格近市场和医院 房主诚心卖 看房方便,李家街,66,"9,076元/平",高楼层(共6层)3室1厅|72.72平米|南北
一方天鹅湖  精装修婚房 南北通透   采光视野好,一方天鹅湖,75,"6,800元/平",中楼层(共11层)3室1厅|110.31平米|南北
华润幸福里二期  三室两卫  洋房产品 中间层,华润置地幸福里二期,145,"12,616元/平",中楼层(共7层)3室2厅|114.94平米|北南
电梯一室一厅，南北通透，全明户型，中间楼层近轻轨,锦泉源D3区,58,"11,763元/平",中楼层(共11层)1室1厅|49.31平米|南北
海天新界 采光好 封闭小区 南向户型 有装修拎包入住,海天新界,56,"7,424元/平",中楼层(共31层)2室1厅|75.44平米|南
店长自荐70年产权单价便宜首付低 入手门槛低,名仕国际公寓,42,"8,438元/平",高楼层(共26层)1室0厅|49.78平米|北
地脚好 视野开阔 全天采光 无遮挡 全明户型,远洋风景,200,"23,961元/平",低楼层(共30层)2室1厅|83.47平米|南
满五年  双南向 中间楼层 户型好 陪读很适合,安乐街,168,"27,291元/平",中楼层(共16层)1室1厅|61.56平米|南北
大三室 南北通厅 一线湖景，环境优美 交通方便,金科金弘基·集美郡,85,"9,648元/平",高楼层(共15层)3室2厅|88.11平米|南北
户型规矩不是顶楼单价低，房主诚心出售,西关街,52,"9,611元/平",高楼层(共7层)2室1厅|54.11平米|南北
八一路杏环街，两室诚心出售，保持干净。,杏环街,55,"9,337元/平",中楼层(共7层)2室1厅|58.91平米|东西
业主多套房产，要出售变现，经典小户型。,翠竹小区,58,"10,963元/平",低楼层(共6层)1室1厅|52.91平米|东西
79 沙区刘长春 14年 南向   精装修 中高楼层,华都文郡,130,"35,145元/平",高楼层(共24层)1室1厅|36.99平米|南
格局规矩，户型好，采光好，装修好近商场,金地自在城,77,"8,767元/平",高楼层(共34层)2室1厅|87.83平米|南西北
中间楼层  精装修 保持好 视野好 无噪音 空气好,百合IT家园,70,"11,138元/平",中楼层(共11层)1室1厅|62.85平米|东北
香炉礁 工人村 大面积 精装修 业主诚心卖,工人村,91.5,"9,854元/平",高楼层(共7层)3室1厅|92.86平米|南北
城润万家小户型南北向户型方正房主诚心出售,城润万家,42,"6,638元/平",中楼层(共31层)2室1厅|63.28平米|南北
此房格局好，视野开阔，采光充足，可拎包入住。,金北花园小区,58.8,"5,993元/平",高楼层(共7层)2室2厅|98.13平米|南北
数码广场，东财，婚房装修，拎包入住,斯坦福院落,195,"21,569元/平",高楼层(共14层)2室1厅|90.41平米|南北
央企大开发商，品质小区，中海物业，南向两室交通便利,中海紫御观邸三期,139,"16,756元/平",中楼层(共32层)2室2厅|82.96平米|南
次新房 房子格局好，南北通透 ，央企开发商，质量..,保利和府,59,"7,600元/平",高楼层(共9层)2室2厅|77.64平米|南北
次新房 房子格局好，南北通透 ，央企开发商，,保利和府,59,"7,543元/平",高楼层(共9层)2室2厅|78.22平米|南北
岭秀滨城东园  两室精装修  位置视野好 业主诚心卖,岭秀滨城悦和东园,98,"10,832元/平",低楼层(共12层)2室2厅|90.48平米|南北
中山好位置，好楼层，南北通透，不临主路，手续齐全,民寿里,58,"14,061元/平",中楼层(共6层)2室1厅|41.25平米|北南
岗盛里小区，精装修，南客厅，采光视野好，交通方便,岗盛里小区,68,"8,718元/平",中楼层(共5层)3室1厅|78平米|南北
自由向多层洋房南北3室房主诚心出售，方便看房,自由向,132.8,"13,492元/平",中楼层(共5层)3室2厅|98.43平米|南北
松江小区 小户型 下楼就是地铁口,松江小区,39,"10,031元/平",中楼层(共7层)1室0厅|38.88平米|西南
花溪镇门口位置 5楼带阁楼 自己装修 出行方便,花溪镇,39.8,"5,636元/平",高楼层(共5层)2室1厅|70.62平米|南北
34中松花街楼层好位置好光线好精装修,34中松花街,95,"29,513元/平",中楼层(共6层)1室1厅|32.19平米|东南
新上倚山里2楼 两室一厅 南北向 诚心卖,倚山里小区,48,"7,081元/平",低楼层(共7层)2室1厅|67.79平米|南北
北京公园三室精装修楼层好，园区绿化高，诚心卖,北京公园,350,"26,808元/平",中楼层(共18层)3室2厅|130.56平米|南北
龙河三期中间楼层精装修没住过可以直接拎包住采光好,颐海听鸥,80,"8,592元/平",中楼层(共6层)2室2厅|93.12平米|南北
幸福e家五期 南北通透两室 装修保持好 视野开阔,幸福e家五期,288,"28,680元/平",高楼层(共24层)2室1厅|100.42平米|南北
台山 一楼两用门头 位置好  诚心出售,台山,96,"13,444元/平",低楼层(共6层)3室1厅|71.41平米|南北
书香府第一期 2楼 南北向明厅精装修 地铁4号线,书香府第一期,62,"12,682元/平",低楼层(共7层)1室1厅|48.89平米|南北
7米开间 小高层 一梯两户 一楼可种花 面积大 位置好,小平岛E东组团,368,"29,101元/平",地下室(共14层)2室2厅|126.46平米|南北
锦霞北园 二期 近地铁 精装修一天未住,锦霞北园,95,"14,368元/平",中楼层(共5层)2室1厅|66.12平米|南北
金南路小  华南商圈  格林翠庭  两室一厅精装修,格林翠庭,118.5,"13,894元/平",中楼层(共9层)2室1厅|85.29平米|南北
工人村村里  2楼 装修保持好 急售,工人村,45.8,"9,355元/平",中楼层(共5层)2室1厅|48.96平米|东西
亿达五期三室两卫精装修顶层采光视野无限好,亿达第一郡五期,130,"11,112元/平",高楼层(共11层)3室2厅|117平米|南北
汇贤云玺 3室2厅 南 北,汇贤云玺,181.8,"16,996元/平",中楼层(共5层)3室2厅|106.97平米|南北
电梯  房子是越层   东向   精装修   干净   格局合理,东方国际大厦,75,"15,067元/平",低楼层(共26层)1室1厅|49.78平米|东
红凌小区 1室1厅 南 北,红凌小区,32,"8,628元/平",低楼层(共6层)1室1厅|37.09平米|南北
此房是南向的 楼层好 采光充足 精装修 拎包即可入住,亿城御景湾,31.8,"5,386元/平",中楼层(共11层)2室1厅|59.05平米|南
